Date,Close
1995-01-03,23.75
1995-01-04,24.25
1995-01-05,24.125
1995-01-06,24.25
1995-01-09,24.125
1995-01-10,23.5
1995-01-11,23.5
1995-01-12,23.375
1995-01-13,23.5
1995-01-16,23.5
1995-01-17,23.75
1995-01-18,23.75
1995-01-19,23.5
1995-01-20,22.75
1995-01-23,23.25
1995-01-24,23.25
1995-01-25,23.625
1995-01-26,23.375
1995-01-27,22.875
1995-01-30,22.875
1995-01-31,23.125
1995-02-01,22.875
1995-02-02,23.0
1995-02-03,22.875
1995-02-06,23.125
1995-02-07,23.0
1995-02-08,22.25
1995-02-09,22.75
1995-02-10,23.375
1995-02-13,23.5
1995-02-14,23.75
1995-02-15,23.375
1995-02-16,23.0
1995-02-17,23.25
1995-02-21,23.0
1995-02-22,22.875
1995-02-23,22.75
1995-02-24,22.875
1995-02-27,23.25
1995-02-28,23.5
1995-03-01,22.875
1995-03-02,23.125
1995-03-03,23.125
1995-03-06,23.25
1995-03-07,22.75
1995-03-08,22.75
1995-03-09,23.125
1995-03-10,23.125
1995-03-13,23.25
1995-03-14,22.875
1995-03-15,22.75
1995-03-16,22.125
1995-03-17,21.75
1995-03-20,21.375
1995-03-21,21.0
1995-03-22,20.75
1995-03-23,20.75
1995-03-24,21.125
1995-03-27,21.25
1995-03-28,21.0
1995-03-29,21.625
1995-03-30,22.375
1995-03-31,22.125
1995-04-03,23.0
1995-04-04,22.125
1995-04-05,22.0
1995-04-06,21.75
1995-04-07,21.875
1995-04-10,22.25
1995-04-11,21.5
1995-04-12,21.75
1995-04-13,21.5
1995-04-17,21.625
1995-04-18,21.625
1995-04-19,21.25
1995-04-20,21.0
1995-04-21,21.375
1995-04-24,21.75
1995-04-25,21.5
1995-04-26,21.375
1995-04-27,21.5
1995-04-28,21.5
1995-05-01,21.5
1995-05-02,21.5
1995-05-03,21.375
1995-05-04,21.5
1995-05-05,21.875
1995-05-08,21.625
1995-05-09,21.625
1995-05-10,21.375
1995-05-11,21.25
1995-05-12,21.5
1995-05-15,21.5
1995-05-16,21.625
1995-05-17,21.75
1995-05-18,22.25
1995-05-19,22.0
1995-05-22,21.625
1995-05-23,22.375
1995-05-24,22.125
1995-05-25,22.125
1995-05-26,22.0
1995-05-30,22.5
1995-05-31,22.5
1995-06-01,22.625
1995-06-02,23.5
1995-06-05,23.625
1995-06-06,23.625
1995-06-07,23.5
1995-06-08,23.25
1995-06-09,23.5
1995-06-12,22.5
1995-06-13,22.0
1995-06-14,22.5
1995-06-15,22.125
1995-06-16,22.0
1995-06-19,21.875
1995-06-20,22.0
1995-06-21,22.25
1995-06-22,22.125
1995-06-23,21.75
1995-06-26,21.75
1995-06-27,21.375
1995-06-28,21.375
1995-06-29,21.625
1995-06-30,22.125
1995-07-03,21.875
1995-07-05,21.875
1995-07-06,22.5
1995-07-07,22.125
1995-07-10,21.75
1995-07-11,22.125
1995-07-12,22.0
1995-07-13,22.25
1995-07-14,22.0
1995-07-17,21.875
1995-07-18,20.875
1995-07-19,20.75
1995-07-20,20.875
1995-07-21,21.125
1995-07-24,20.75
1995-07-25,21.0
1995-07-26,21.375
1995-07-27,21.625
1995-07-28,21.375
1995-07-31,21.875
1995-08-01,22.0
1995-08-02,22.375
1995-08-03,22.25
1995-08-04,22.375
1995-08-07,22.5
1995-08-08,22.5
1995-08-09,21.875
1995-08-10,21.625
1995-08-11,21.625
1995-08-14,21.875
1995-08-15,21.5
1995-08-16,21.625
1995-08-17,21.75
1995-08-18,21.5
1995-08-21,21.75
1995-08-22,21.375
1995-08-23,21.5
1995-08-24,21.5
1995-08-25,21.5
1995-08-28,21.375
1995-08-29,20.75
1995-08-30,20.875
1995-08-31,21.0
1995-09-01,20.875
1995-09-05,20.625
1995-09-06,20.875
1995-09-07,21.125
1995-09-08,21.125
1995-09-11,21.0
1995-09-12,21.125
1995-09-13,21.25
1995-09-14,21.125
1995-09-15,21.25
1995-09-18,21.25
1995-09-19,21.125
1995-09-20,21.125
1995-09-21,20.75
1995-09-22,20.625
1995-09-25,20.875
1995-09-26,21.0
1995-09-27,20.875
1995-09-28,20.625
1995-09-29,20.875
1995-10-02,20.75
1995-10-03,20.75
1995-10-04,20.75
1995-10-05,20.375
1995-10-06,20.875
1995-10-09,20.75
1995-10-10,20.75
1995-10-11,20.625
1995-10-12,20.625
1995-10-13,20.75
1995-10-16,20.625
1995-10-17,20.75
1995-10-18,20.75
1995-10-19,20.625
1995-10-20,20.625
1995-10-23,20.125
1995-10-24,20.75
1995-10-25,20.5
1995-10-26,20.5
1995-10-27,20.375
1995-10-30,20.25
1995-10-31,19.625
1995-11-01,19.5
1995-11-02,19.5
1995-11-03,20.0
1995-11-06,19.875
1995-11-07,18.375
1995-11-08,18.0
1995-11-09,18.25
1995-11-10,18.25
1995-11-13,17.75
1995-11-14,18.0
1995-11-15,18.0
1995-11-16,18.5
1995-11-17,18.625
1995-11-20,18.375
1995-11-21,18.5
1995-11-22,19.25
1995-11-24,20.25
1995-11-27,20.5
1995-11-28,20.5
1995-11-29,20.5
1995-11-30,20.875
1995-12-01,20.875
1995-12-04,20.625
1995-12-05,20.625
1995-12-06,20.625
1995-12-07,20.25
1995-12-08,19.875
1995-12-11,19.375
1995-12-12,18.875
1995-12-13,19.0
1995-12-14,18.875
1995-12-15,18.75
1995-12-18,18.0
1995-12-19,18.125
1995-12-20,18.25
1995-12-21,17.875
1995-12-22,18.0
1995-12-26,18.875
1995-12-27,20.0
1995-12-28,21.375
1995-12-29,22.0
1996-01-02,21.0
