Date,Close
1995-01-03,6.84375
1995-01-04,6.8125
1995-01-05,6.875
1995-01-06,6.8125
1995-01-09,6.75
1995-01-10,6.78125
1995-01-11,6.6875
1995-01-12,6.75
1995-01-13,6.8125
1995-01-16,6.78125
1995-01-17,6.84375
1995-01-18,6.8125
1995-01-19,6.71875
1995-01-20,6.71875
1995-01-23,6.75
1995-01-24,6.75
1995-01-25,6.75
1995-01-26,6.71875
1995-01-27,6.71875
1995-01-30,6.71875
1995-01-31,6.75
1995-02-01,6.71875
1995-02-02,6.71875
1995-02-03,6.65625
1995-02-06,6.6875
1995-02-07,6.75
1995-02-08,6.75
1995-02-09,6.71875
1995-02-10,6.71875
1995-02-13,6.71875
1995-02-14,6.625
1995-02-15,6.5
1995-02-16,6.46875
1995-02-17,6.40625
1995-02-21,6.375
1995-02-22,6.375
1995-02-23,6.40625
1995-02-24,6.4375
1995-02-27,6.4375
1995-02-28,6.5
1995-03-01,6.5
1995-03-02,6.5
1995-03-03,6.46875
1995-03-06,6.40625
1995-03-07,6.34375
1995-03-08,6.25
1995-03-09,6.25
1995-03-10,6.25
1995-03-13,6.21875
1995-03-14,6.25
1995-03-15,6.28125
1995-03-16,6.25
1995-03-17,6.3125
1995-03-20,6.34375
1995-03-21,6.25
1995-03-22,6.21875
1995-03-23,6.21875
1995-03-24,6.25
1995-03-27,6.34375
1995-03-28,6.40625
1995-03-29,6.4375
1995-03-30,6.40625
1995-03-31,6.375
1995-04-03,6.46875
1995-04-04,6.46875
1995-04-05,6.53125
1995-04-06,6.625
1995-04-07,6.71875
1995-04-10,6.75
1995-04-11,6.8125
1995-04-12,6.8125
1995-04-13,6.8125
1995-04-17,6.75
1995-04-18,6.75
1995-04-19,6.75
1995-04-20,6.8125
1995-04-21,6.9375
1995-04-24,6.9375
1995-04-25,7.0
1995-04-26,6.96875
1995-04-27,6.96875
1995-04-28,7.0
1995-05-01,7.0625
1995-05-02,7.09375
1995-05-03,7.0625
1995-05-04,7.25
1995-05-05,7.25
1995-05-08,7.21875
1995-05-09,7.21875
1995-05-10,7.21875
1995-05-11,7.25
1995-05-12,7.25
1995-05-15,7.1875
1995-05-16,7.15625
1995-05-17,7.0625
1995-05-18,7.03125
1995-05-19,7.03125
1995-05-22,7.03125
1995-05-23,7.0
1995-05-24,6.96875
1995-05-25,7.0
1995-05-26,7.0
1995-05-30,7.03125
1995-05-31,7.03125
1995-06-01,7.03125
1995-06-02,7.0625
1995-06-05,7.0625
1995-06-06,7.03125
1995-06-07,7.03125
1995-06-08,7.0625
1995-06-09,7.0625
1995-06-12,7.0625
1995-06-13,7.03125
1995-06-14,7.0
1995-06-15,7.0
1995-06-16,6.96875
1995-06-19,6.9375
1995-06-20,6.90625
1995-06-21,6.90625
1995-06-22,6.90625
1995-06-23,6.90625
1995-06-26,6.875
1995-06-27,6.90625
1995-06-28,6.90625
1995-06-29,6.90625
1995-06-30,7.0
1995-07-03,7.0
1995-07-05,7.09375
1995-07-06,7.21875
1995-07-07,7.1875
1995-07-10,7.21875
1995-07-11,7.15625
1995-07-12,7.15625
1995-07-13,7.15625
1995-07-14,7.3125
1995-07-17,7.25
1995-07-18,7.28125
1995-07-19,7.28125
1995-07-20,7.15625
1995-07-21,7.15625
1995-07-24,7.15625
1995-07-25,7.15625
1995-07-26,7.1875
1995-07-27,7.21875
1995-07-28,7.15625
1995-07-31,7.25
1995-08-01,7.21875
1995-08-02,7.15625
1995-08-03,7.09375
1995-08-04,7.1875
1995-08-07,7.21875
1995-08-08,7.25
1995-08-09,7.28125
1995-08-10,7.34375
1995-08-11,7.4375
1995-08-14,7.4375
1995-08-15,7.4375
1995-08-16,7.46875
1995-08-17,7.4375
1995-08-18,7.4375
1995-08-21,7.4375
1995-08-22,7.46875
1995-08-23,7.46875
1995-08-24,7.46875
