Date,Close
1995-01-03,14.5625
1995-01-04,14.5625
1995-01-05,14.125
1995-01-06,14.3125
1995-01-09,14.125
1995-01-10,14.25
1995-01-11,14.125
1995-01-12,14.0
1995-01-13,14.0
1995-01-16,13.8125
1995-01-17,14.0625
1995-01-18,14.0
1995-01-19,13.875
1995-01-20,13.75
1995-01-23,13.375
1995-01-24,13.5625
1995-01-25,13.5
1995-01-26,13.4375
1995-01-27,13.5
1995-01-30,13.375
1995-01-31,13.3125
1995-02-01,13.3125
1995-02-02,13.25
1995-02-03,12.875
1995-02-06,12.8125
1995-02-07,13.0
1995-02-08,13.3125
1995-02-09,13.5
1995-02-10,13.625
1995-02-13,13.5625
1995-02-14,13.875
1995-02-15,13.75
1995-02-16,13.5
1995-02-17,13.1875
1995-02-21,13.625
1995-02-22,13.75
1995-02-23,13.625
1995-02-24,13.5625
1995-02-27,13.5
1995-02-28,13.5625
1995-03-01,13.5
1995-03-02,13.625
1995-03-03,13.5
1995-03-06,13.5
1995-03-07,13.375
1995-03-08,13.3125
1995-03-09,13.25
1995-03-10,13.0625
1995-03-13,13.125
1995-03-14,13.0625
1995-03-15,13.0625
1995-03-16,13.0625
1995-03-17,12.9375
1995-03-20,12.9375
1995-03-21,13.1875
1995-03-22,13.5625
1995-03-23,13.5
1995-03-24,13.3125
1995-03-27,13.125
1995-03-28,13.0
1995-03-29,13.0
1995-03-30,13.0
1995-03-31,13.0
1995-04-03,13.0
1995-04-04,13.1875
1995-04-05,13.125
1995-04-06,12.9375
1995-04-07,13.0
1995-04-10,13.0
1995-04-11,12.875
1995-04-12,12.6875
1995-04-13,12.75
1995-04-17,12.8125
1995-04-18,12.8125
1995-04-19,12.6875
1995-04-20,12.5
1995-04-21,12.5
1995-04-24,12.8125
1995-04-25,13.125
1995-04-26,13.1875
1995-04-27,13.4375
1995-04-28,13.375
1995-05-01,13.4375
1995-05-02,13.1875
1995-05-03,13.1875
1995-05-04,13.625
1995-05-05,13.9375
1995-05-08,14.1875
1995-05-09,14.375
1995-05-10,14.625
1995-05-11,14.5
1995-05-12,14.4375
1995-05-15,14.5
1995-05-16,14.5625
1995-05-17,14.5
1995-05-18,14.4375
1995-05-19,14.3125
1995-05-22,14.5625
1995-05-23,14.4375
1995-05-24,14.4375
1995-05-25,14.375
1995-05-26,14.375
1995-05-30,14.3125
1995-05-31,14.3125
1995-06-01,14.5625
1995-06-02,14.625
1995-06-05,14.875
1995-06-06,14.8125
1995-06-07,14.75
1995-06-08,14.6875
1995-06-09,14.4375
1995-06-12,14.3125
1995-06-13,14.25
1995-06-14,14.3125
1995-06-15,14.5
1995-06-16,14.6875
1995-06-19,14.5625
1995-06-20,14.5
1995-06-21,14.5
1995-06-22,14.1875
1995-06-23,14.125
1995-06-26,14.0625
1995-06-27,14.0
1995-06-28,13.6875
1995-06-29,13.5
1995-06-30,13.9375
1995-07-03,14.0625
1995-07-05,14.0
1995-07-06,14.3125
1995-07-07,14.6875
1995-07-10,14.6875
1995-07-11,14.75
1995-07-12,14.8125
1995-07-13,14.9375
1995-07-14,14.75
1995-07-17,14.9375
1995-07-18,14.8125
1995-07-19,14.375
1995-07-20,14.375
1995-07-21,14.375
1995-07-24,14.4375
1995-07-25,14.375
1995-07-26,14.75
1995-07-27,14.75
1995-07-28,14.75
1995-07-31,14.75
1995-08-01,14.8125
1995-08-02,14.8125
1995-08-03,14.6875
1995-08-04,14.75
1995-08-07,14.75
1995-08-08,14.75
1995-08-09,14.6875
1995-08-10,14.8125
1995-08-11,14.75
1995-08-14,14.8125
1995-08-15,14.75
1995-08-16,14.6875
