Date,Close
1995-04-04,2.953125
1995-04-05,2.84375
1995-04-06,2.890625
1995-04-07,2.84375
1995-04-10,2.875
1995-04-11,2.859375
1995-04-12,2.859375
1995-04-13,2.875
1995-04-17,2.953125
1995-04-18,2.9375
1995-04-19,2.84375
1995-04-20,2.734375
1995-04-21,2.796875
1995-04-24,2.75
1995-04-25,2.8125
1995-04-26,2.75
1995-04-27,2.78125
1995-04-28,2.765625
1995-05-01,2.765625
1995-05-02,2.84375
1995-05-03,2.859375
1995-05-04,2.8125
1995-05-05,2.8125
1995-05-08,2.8125
1995-05-09,2.75
1995-05-10,2.75
1995-05-11,2.75
1995-05-12,2.75
1995-05-15,2.703125
1995-05-16,2.71875
1995-05-17,2.710937976837158
1995-05-18,2.640625
1995-05-19,2.609375
1995-05-22,2.65625
1995-05-23,2.75
1995-05-24,2.8125
1995-05-25,2.8125
1995-05-26,2.8125
1995-05-30,2.78125
1995-05-31,2.84375
1995-06-01,2.875
1995-06-02,3.0
1995-06-05,3.015625
1995-06-06,3.0
1995-06-07,3.03125
1995-06-08,2.9375
1995-06-09,2.96875
1995-06-12,3.0
1995-06-13,2.9375
1995-06-14,2.9375
1995-06-15,2.890625
1995-06-16,2.90625
1995-06-19,3.0
1995-06-20,2.9375
1995-06-21,3.0
1995-06-22,2.984375
1995-06-23,3.03125
1995-06-26,2.984375
1995-06-27,2.96875
1995-06-28,2.9375
1995-06-29,2.875
1995-06-30,2.851562976837158
1995-07-03,2.8125
1995-07-05,2.8125
1995-07-06,2.8125
1995-07-07,2.875
1995-07-10,2.8125
1995-07-11,2.8125
1995-07-12,2.875
1995-07-13,2.859375
1995-07-14,2.796875
1995-07-17,2.84375
1995-07-18,2.78125
1995-07-19,2.71875
1995-07-20,2.6875
1995-07-21,2.671875
1995-07-24,2.84375
1995-07-25,2.828125
1995-07-26,2.78125
1995-07-27,2.875
1995-07-28,2.78125
1995-07-31,2.78125
1995-08-01,2.78125
1995-08-02,2.625
1995-08-03,2.65625
1995-08-04,2.65625
1995-08-07,2.609375
1995-08-08,2.53125
1995-08-09,2.5625
1995-08-10,2.5
1995-08-11,2.515625
1995-08-14,2.5625
1995-08-15,2.5625
1995-08-16,2.71875
1995-08-17,2.859375
1995-08-18,2.90625
1995-08-21,2.875
1995-08-22,2.84375
1995-08-23,2.75
1995-08-24,2.8125
1995-08-25,2.8125
1995-08-28,2.75
1995-08-29,2.796875
1995-08-30,2.84375
1995-08-31,2.84375
1995-09-01,2.828125
1995-09-05,2.828125
1995-09-06,2.859375
1995-09-07,2.75
1995-09-08,2.75
1995-09-11,2.75
1995-09-12,2.796875
1995-09-13,2.84375
1995-09-14,3.21875
1995-09-15,3.21875
1995-09-18,3.1875
1995-09-19,3.28125
1995-09-20,3.375
1995-09-21,3.46875
1995-09-22,3.375
1995-09-25,3.40625
1995-09-26,3.40625
1995-09-27,3.359375
1995-09-28,3.375
1995-09-29,3.375
1995-10-02,3.203125
1995-10-03,3.28125
1995-10-04,3.1875
1995-10-05,3.25
1995-10-06,3.28125
1995-10-09,3.21875
1995-10-10,3.15625
1995-10-11,3.15625
1995-10-12,3.25
1995-10-13,3.203125
1995-10-16,3.25
1995-10-17,3.1875
1995-10-18,3.1875
1995-10-19,3.1875
1995-10-20,3.25
1995-10-23,3.25
1995-10-24,3.28125
1995-10-25,3.28125
1995-10-26,3.375
1995-10-27,3.4375
1995-10-30,3.421875
1995-10-31,3.40625
1995-11-01,3.5625
1995-11-02,3.625
1995-11-03,3.71875
1995-11-06,3.625
1995-11-07,3.625
1995-11-08,3.625
1995-11-09,3.671875
1995-11-10,3.75
1995-11-13,3.6875
1995-11-14,3.78125
1995-11-15,3.71875
1995-11-16,3.6875
1995-11-17,3.71875
1995-11-20,3.65625
1995-11-21,3.71875
1995-11-22,3.679687976837158
1995-11-24,3.65625
1995-11-27,3.5625
1995-11-28,3.625
1995-11-29,3.625
1995-11-30,3.625
1995-12-01,3.6875
1995-12-04,3.6875
1995-12-05,3.65625
1995-12-06,3.78125
1995-12-07,3.8125
1995-12-08,3.9375
1995-12-11,4.09375
1995-12-12,4.1875
1995-12-13,4.09375
1995-12-14,3.96875
1995-12-15,4.046875
1995-12-18,4.0
1995-12-19,4.03125
1995-12-20,3.96875
1995-12-21,3.9375
1995-12-22,3.9375
1995-12-26,3.96875
1995-12-27,4.03125
1995-12-28,4.015625
1995-12-29,4.125
1996-01-02,4.125
