signal_date,execution_date,target_end_date,sell_reason,sell_ndx_return_60_pct,sell_breadth_fall_60_points,sell_breadth_level_pct,future_min_ndx_return_60,hold_return_20,risk_adjusted_return_20,cash_advantage_20,cash_wins_20,hold_return_60,risk_adjusted_return_60,cash_advantage_60,cash_wins_60,oracle_reentry_delay_60,oracle_reentry_date_60
2002-08-14,2002-08-15,2002-11-07,climax-top,-26.37154690884218,35.010000000000005,38.58,-0.1748043770318638,-0.06161482529817763,-0.49345043295857405,0.06061482529817763,True,0.05199520044303596,0.2457779872702685,-0.05299520044303596,False,36,2002-10-07
2002-11-11,2002-11-12,2003-02-07,climax-top,-2.367327269441588,8.32,32.35,-0.025853733014402858,0.0515242505979947,0.4304783706333183,-0.052524250597994704,False,-0.025853733014402858,-0.1506892775607241,0.024853733014402857,True,59,2003-02-07
2003-03-17,2003-03-18,2003-06-11,climax-top,3.5566623718774615,-8.209999999999994,50.23,-0.05267367246349852,-0.025099972100809054,-0.31127416079631576,0.024099972100809053,True,0.14223007532781562,1.1432515511750843,-0.14323007532781562,False,9,2003-03-31
2004-06-10,2004-06-14,2004-09-07,bearish-divergence,5.814825662382939,30.959999999999994,57.61,-0.11300675905400437,-0.02618623437733747,-0.5420132502334806,0.02518623437733747,True,-0.060369096027525826,-0.6238829756034271,0.059369096027525825,True,42,2004-08-12
2007-07-26,2007-07-27,2007-10-19,bearish-divergence,6.040791489407127,26.480000000000004,57.06,-0.07178017447268525,-0.028644694169997598,-0.4233017651110299,0.027644694169997597,True,0.07151368881514442,0.6908067565707227,-0.07251368881514442,False,14,2007-08-16
2008-09-29,2008-09-30,2008-12-23,trailing-stop,-17.628760976684,10.100000000000001,16.16,-0.3271643806271949,-0.24065406910698406,-1.1346852923851685,0.23965406910698406,True,-0.23194915969386753,-0.6986231133510222,0.23094915969386753,True,37,2008-11-20
2008-11-04,2008-11-05,2009-02-02,climax-top,-28.993473210284193,33.730000000000004,8.69,-0.2377594093335882,-0.1423864923298671,-0.7256822411866417,0.1413864923298671,True,-0.12065567501581087,-0.48255543919853794,0.11965567501581087,True,11,2008-11-20
2009-01-13,2009-01-14,2009-04-09,climax-top,-8.402324500940605,1.21,2.83,-0.11819663960668703,0.03654364372059238,0.33613829946745893,-0.03754364372059238,False,0.1321940546887539,0.6634109990848585,-0.1331940546887539,False,36,2009-03-09
2009-02-17,2009-02-18,2009-05-13,climax-top,2.7073329007138103,-1.2099999999999995,4.64,-0.1256564675137577,-0.0014406687383260453,-0.011300325655079298,0.00044066873832604523,True,0.12223906725075162,0.687384299303042,-0.12323906725075162,False,13,2009-03-09
2011-09-16,2011-09-19,2011-12-12,bearish-divergence,3.14614782511462,34.330000000000005,34.4,-0.08456121248309645,0.04140250434660442,0.4982572809768076,-0.04240250434660442,False,0.006410143833090354,0.047301532897933624,-0.007410143833090354,False,10,2011-10-03
2014-08-07,2014-08-08,2014-10-31,bearish-divergence,6.834702710785812,21.529999999999994,58.79,-0.025571350563780904,0.058443255721269516,3.301591672678491,-0.05944325572126952,False,0.07611623952858237,1.0014275818107337,-0.07711623952858238,False,48,2014-10-16
2018-03-22,2018-03-23,2018-06-18,bearish-divergence,3.357839005006835,21.760000000000005,54.67,-0.043744080296983845,-0.0023102739859258703,-0.026888229775794588,0.0013102739859258703,True,0.0850222722981091,0.8577993119275283,-0.0860222722981091,False,5,2018-04-02
2020-02-25,2020-02-26,2020-05-20,bearish-divergence,5.3556330680022635,23.009999999999998,50.29,-0.2126216226256641,-0.14963283841850905,-0.5731141381122123,0.14863283841850905,True,0.06777094701007891,0.22348279639547589,-0.06877094701007891,False,17,2020-03-20
2021-11-30,2021-12-01,2022-02-25,bearish-divergence,3.0860813934322495,22.880000000000003,55.73,-0.17363206173736656,0.008750327257957435,0.11760196242954606,-0.009750327257957436,False,-0.1320531736069821,-0.9254120144704215,0.1310531736069821,True,57,2022-02-23
2022-11-11,2022-11-14,2023-02-09,climax-top,-12.505414264337523,-5.770000000000003,52.68,-0.08942361556977219,-0.0018476975403538543,-0.027328585678328996,0.0008476975403538542,True,0.05568331129227122,0.4491015426426611,-0.05668331129227122,False,30,2022-12-28
2023-05-01,2023-05-02,2023-07-27,bearish-divergence,3.3455074302085164,22.269999999999996,53.67,-0.018373624246530218,0.0854040836325034,1.6897569071847205,-0.0864040836325034,False,0.1693284478143704,2.133672550579295,-0.1703284478143704,False,2,2023-05-04
2024-12-18,2024-12-19,2025-03-19,bearish-divergence,6.339835265662708,23.259999999999998,53.87,-0.09987972165089887,0.009725270017636678,0.1794231872514917,-0.010725270017636679,False,-0.0759467179554647,-0.7100590222103303,0.0749467179554647,True,55,2025-03-13
