trade_num,entry_date,exit_date,entry_value,mid_contribs,exit_value,net_gain,return_pct,price_dd,port_peak,port_trough,port_dd,sell_reason,holdings,status
1,2001-10-01,2001-11-26,45996.60169915042,0.0,76995.10634624162,30998.5046470912,67.39303231539331,0.0,45996.60169915042,45996.60169915042,0.0,bearish-div,CSCO,closed
2,2002-07-18,2002-09-13,68338.98223251959,0.0,64027.2550207515,-4311.727211768084,-6.309323128485689,0.0,68338.98223251959,68338.98223251959,0.0,bearish-div,MSFT,closed
3,2002-09-13,2002-11-08,63586.25335680057,0.0,73091.2448733217,9504.991516521135,14.948186148326622,0.0,63586.25335680057,63586.25335680057,0.0,bearish-div,MSFT,closed
4,2003-03-10,2007-07-26,70453.89911405522,0.0,209388.64394368173,138934.74482962652,197.19951142052503,0.0,206265.92872985106,93258.64645301447,-22.642219802756912,bearish-div,MSFT → AAPL,closed
5,2008-01-17,2011-09-16,164286.01055297616,0.0,407516.39302755217,243230.382474576,148.0530092951178,-51.44446152659823,410683.66869561723,79769.95706046723,-58.87502921348094,bearish-div,AAPL,closed
6,2011-09-21,2014-08-07,266015.70226340793,24192.0,479264.3438340641,189056.64157065615,65.14528735665958,-11.784806168713576,500058.9991351275,267674.4476530322,-42.260633232320814,bearish-div,AAPL,closed
7,2015-08-24,2018-03-22,491498.73172511143,16128.0,897866.1188368595,390239.38711174804,76.87526340182363,-7.827449273601748,966787.5495288611,453026.9178189324,-22.45381864641034,bearish-div,AAPL,closed
8,2018-12-17,2020-02-25,861214.659392565,8064.0,1292885.072118512,423606.41272594687,48.730796292865946,-10.436709393318912,1469188.8674018758,771332.1881391017,-11.585475180952253,bearish-div,AAPL,closed
9,2020-02-28,2020-03-02,1219355.1506572575,0.0,1332210.7180786221,112855.5674213646,9.255348399564568,0.0,1219355.1506572575,1219355.1506572575,0.0,bearish-div,AAPL,closed
10,2020-03-09,2021-11-30,1294093.368569825,16128.0,3907518.979628945,2597297.61105912,198.23349499285038,-15.704262754381437,4057532.6543944753,1090865.545682594,-21.367490316785386,bearish-div,AAPL → MSFT,closed
11,2022-05-19,2023-05-01,3034910.1506478786,8064.0,3299341.0676662354,256366.91701835673,8.424879881538716,-11.624931098581163,3862245.196184922,2682103.936731217,-30.555834741394307,bearish-div,AAPL → AMZN,closed
12,2023-10-27,2024-12-18,3359633.881313596,8064.0,5298694.084005577,1930996.2026919806,57.338759910933014,0.0,5417395.420113105,3513680.3134702207,-15.16417680944028,bearish-div,AMZN → AAPL,closed
13,2025-04-04,,5109347.581528263,16128.0,11678509.964075932,6553034.382547669,127.8522212878,0.0,12791850.714157362,8955049.851881452,-20.29414151992486,(open),NVDA,(open)
